SampleID,Name,Time,Date,Latitude (decimal degrees),Longitude (decimal degrees),Salinity (psu),temperature(C),Pressure (dbars),Total P (micromol/kgSW),Total Si (micromol/kgSW),TA (micromol/kgSW),TCO2 (micromol/kgSW),pH,fCO2 (microatm),pCO2 (microatm),HCO3 (micromol/kgSW),CO3 (micromol/kgSW),CO2 (micromol/kgSW),B Alk (micromol/kgSW),OH (micromol/kgSW),P Alk (micromol/kgSW),Si Alk (micromol/kgSW),Revelle,O Ca,O Ar ,xCO2  (dry at 1 atm) (ppm),t(C) adjusted,P (dbars) adjusted,pH adjusted,fCO2 adjusted (microatm),pCO2 adjusted(microatm),HCO3 adjusted(micromol/kgSW),CO3 adjusted (micromol/kgSW),CO2 adjusted(micromol/kgSW),B Alk adjusted(micromol/kgSW),OH adjusted (micromol/kgSW),P Alk adjusted(micromol/kgSW),Si Alk adjusted (micromol/kgSW),Revelle adjusted,O Ca adjusted,O Ar adjusted,xCO2 out (dry at 1 atm) (ppm),pCO2_air (microatm),Windspeed,CO2 Flux (mmol/m2/d),CO2 Flux adjusted (mmol/m2/d),Whose K1/K2,Whose KHSO4,Which pH Scale,Whose Boron,Whose Air-sea Flux,Windspeed Units,Comment
 11,"11","","18-Jul-13",,,21.700,19.700,10.133,0.000,0.000,1764.176,1549.973,8.380,205.311,206.013,1387.084,155.678,7.211,60.818,4.923,0.000,0.000,10.296,4.070,2.519,210.726,19.700,10.133,8.380,205.311,206.013,1387.084,155.678,7.211,60.818,4.923,0.000,0.000,10.296,4.070,2.519,210.726,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 12,"12","","18-Jul-13",,,21.700,19.400,10.133,0.000,0.000,1713.361,1616.742,8.050,479.732,481.377,1520.709,79.039,16.993,32.339,2.243,0.000,0.000,15.028,2.065,1.277,492.182,19.400,10.133,8.050,479.732,481.377,1520.709,79.039,16.993,32.339,2.243,0.000,0.000,15.028,2.065,1.277,492.182,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 13,"13","","18-Jul-13",,,21.700,19.600,10.133,0.000,0.000,1770.090,1612.027,8.235,306.089,307.136,1482.485,118.761,10.781,46.594,3.495,0.000,0.000,12.184,3.104,1.920,314.119,19.600,10.133,8.235,306.089,307.136,1482.485,118.761,10.781,46.594,3.495,0.000,0.000,12.184,3.104,1.920,314.119,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 14,"14","","18-Jul-13",,,21.700,19.400,10.133,0.000,0.000,1764.324,1549.731,8.385,202.270,202.964,1386.691,155.875,7.165,61.035,4.852,0.000,0.000,10.291,4.072,2.518,207.519,19.400,10.133,8.385,202.270,202.964,1386.691,155.875,7.165,61.035,4.852,0.000,0.000,10.291,4.072,2.518,207.519,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 15,"15","","18-Jul-13",,,21.700,19.200,10.133,0.000,0.000,1685.081,1609.720,7.975,569.921,571.880,1523.243,66.173,20.304,27.649,1.855,0.000,0.000,16.231,1.727,1.068,584.554,19.200,10.133,7.975,569.921,571.880,1523.243,66.173,20.304,27.649,1.855,0.000,0.000,16.231,1.727,1.068,584.554,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 16,"16","","18-Jul-13",,,21.700,19.500,10.133,0.000,0.000,1758.138,1549.761,8.370,210.218,210.938,1390.803,151.533,7.425,59.545,4.728,0.000,0.000,10.435,3.960,2.449,215.703,19.500,10.133,8.370,210.218,210.938,1390.803,151.533,7.425,59.545,4.728,0.000,0.000,10.435,3.960,2.449,215.703,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 17,"17","","18-Jul-13",,,21.600,19.500,10.133,0.000,0.000,1671.514,1673.799,7.625,1341.615,1346.209,1595.208,31.177,47.414,13.127,0.848,0.000,0.000,18.876,0.815,0.504,1376.621,19.500,10.133,7.625,1341.615,1346.209,1595.208,31.177,47.414,13.127,0.848,0.000,0.000,18.876,0.815,0.504,1376.621,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 18,"18","","18-Jul-13",,,21.700,19.400,10.133,0.000,0.000,1736.387,1528.371,8.375,204.575,205.277,1370.568,150.556,7.247,59.969,4.741,0.000,0.000,10.364,3.933,2.432,209.884,19.400,10.133,8.375,204.575,205.277,1370.568,150.556,7.247,59.969,4.741,0.000,0.000,10.364,3.933,2.432,209.884,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 19,"19","","18-Jul-13",,,21.700,19.300,10.133,0.000,0.000,1748.940,1538.346,8.380,203.186,203.883,1378.460,152.668,7.218,60.394,4.754,0.000,0.000,10.342,3.987,2.465,208.431,19.300,10.133,8.380,203.186,203.883,1378.460,152.668,7.218,60.394,4.754,0.000,0.000,10.342,3.987,2.465,208.431,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 20,"20","","18-Jul-13",,,21.600,19.300,10.133,0.000,0.000,1687.963,1621.206,7.940,624.710,626.855,1537.355,61.646,22.204,25.606,1.721,0.000,0.000,16.787,1.611,0.995,640.837,19.300,10.133,7.940,624.710,626.855,1537.355,61.646,22.204,25.606,1.721,0.000,0.000,16.787,1.611,0.995,640.837,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 21,"21","","18-Jul-13",,,21.700,20.200,10.133,0.000,0.000,1685.494,1633.538,7.865,756.477,759.045,1553.199,54.143,26.196,22.453,1.571,0.000,0.000,17.566,1.418,0.878,776.970,20.200,10.133,7.865,756.477,759.045,1553.199,54.143,26.196,22.453,1.571,0.000,0.000,17.566,1.418,0.878,776.970,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 22,"22","","18-Jul-13",,,21.600,20.800,10.133,0.000,0.000,1775.546,1537.127,8.420,185.597,186.222,1357.988,172.816,6.324,66.009,5.922,0.000,0.000,9.733,4.538,2.814,190.790,20.800,10.133,8.420,185.597,186.222,1357.988,172.816,6.324,66.009,5.922,0.000,0.000,9.733,4.538,2.814,190.790,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 23,"23","","18-Jul-13",,,21.600,19.800,10.133,0.000,0.000,1762.516,1550.708,8.375,208.416,209.127,1389.197,154.208,7.303,60.011,4.896,0.000,0.000,10.357,4.036,2.497,213.943,19.800,10.133,8.375,208.416,209.127,1389.197,154.208,7.303,60.011,4.896,0.000,0.000,10.357,4.036,2.497,213.943,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 24,"24","","18-Jul-13",,,21.700,19.500,10.133,0.000,0.000,1707.515,1634.354,7.960,601.232,603.291,1547.521,65.596,21.237,26.973,1.839,0.000,0.000,16.436,1.714,1.060,616.919,19.500,10.133,7.960,601.232,603.291,1547.521,65.596,21.237,26.973,1.839,0.000,0.000,16.436,1.714,1.060,616.919,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 25,"1","","25-Jul-13",,,22.200,18.400,10.133,0.000,0.000,1703.362,1641.608,7.920,653.497,655.766,1558.939,58.910,23.759,25.071,1.544,0.000,0.000,17.122,1.529,0.946,669.572,18.400,10.133,7.920,653.497,655.766,1558.939,58.910,23.759,25.071,1.544,0.000,0.000,17.122,1.529,0.946,669.572,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 26,"2","","25-Jul-13",,,22.300,18.300,10.133,0.000,0.000,1671.041,1711.219,7.460,1953.303,1960.093,1618.838,21.199,71.182,9.309,0.532,0.000,0.000,17.041,0.550,0.340,2001.091,18.300,10.133,7.460,1953.303,1960.093,1618.838,21.199,71.182,9.309,0.532,0.000,0.000,17.041,0.550,0.340,2001.091,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 27,"3","","25-Jul-13",,,22.300,18.200,10.133,0.000,0.000,1660.644,1656.641,7.660,1201.650,1205.832,1580.040,32.683,43.918,14.425,0.836,0.000,0.000,18.942,0.847,0.524,1230.893,18.200,10.133,7.660,1201.650,1205.832,1580.040,32.683,43.918,14.425,0.836,0.000,0.000,18.942,0.847,0.524,1230.893,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 28,"4","","25-Jul-13",,,22.300,18.100,10.133,0.000,0.000,1671.376,1611.997,7.915,646.798,649.052,1531.494,56.795,23.708,24.815,1.490,0.000,0.000,17.160,1.472,0.910,662.455,18.100,10.133,7.915,646.798,649.052,1531.494,56.795,23.708,24.815,1.490,0.000,0.000,17.160,1.472,0.910,662.455,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 29,"5","","25-Jul-13",,,22.400,18.100,10.133,0.000,0.000,1664.752,1612.097,7.885,693.331,695.747,1533.478,53.219,25.400,23.454,1.394,0.000,0.000,17.516,1.378,0.853,710.114,18.100,10.133,7.885,693.331,695.747,1533.478,53.219,25.400,23.454,1.394,0.000,0.000,17.516,1.378,0.853,710.114,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 30,"6","","25-Jul-13",,,22.100,18.200,10.133,0.000,0.000,1646.615,1649.306,7.630,1283.496,1287.963,1572.163,30.182,46.961,13.336,0.776,0.000,0.000,18.857,0.783,0.484,1314.734,18.200,10.133,7.630,1283.496,1287.963,1572.163,30.182,46.961,13.336,0.776,0.000,0.000,18.857,0.783,0.484,1314.734,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 31,"7","","25-Jul-13",,,22.500,17.900,10.133,0.000,0.000,1664.988,1600.914,7.935,610.464,612.597,1519.497,58.935,22.483,26.093,1.541,0.000,0.000,16.834,1.525,0.944,625.084,17.900,10.133,7.935,610.464,612.597,1519.497,58.935,22.483,26.093,1.541,0.000,0.000,16.834,1.525,0.944,625.084,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 32,"8","","25-Jul-13",,,22.300,18.100,10.133,0.000,0.000,1664.453,1669.195,7.620,1325.092,1329.710,1590.716,29.908,48.571,13.190,0.756,0.000,0.000,18.808,0.775,0.479,1357.168,18.100,10.133,7.620,1325.092,1329.710,1590.716,29.908,48.571,13.190,0.756,0.000,0.000,18.808,0.775,0.479,1357.168,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 33,"9","","25-Jul-13",,,22.500,18.100,10.133,0.000,0.000,1659.717,1635.351,7.755,950.777,954.091,1560.287,40.252,34.812,17.907,1.036,0.000,0.000,18.726,1.042,0.645,973.791,18.100,10.133,7.755,950.777,954.091,1560.287,40.252,34.812,17.907,1.036,0.000,0.000,18.726,1.042,0.645,973.791,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 34,"10","","25-Jul-13",,,22.300,18.200,10.133,0.000,0.000,1695.061,1662.182,7.795,883.447,886.522,1585.151,44.743,32.288,19.301,1.140,0.000,0.000,18.565,1.160,0.718,904.947,18.200,10.133,7.795,883.447,886.522,1585.151,44.743,32.288,19.301,1.140,0.000,0.000,18.565,1.160,0.718,904.947,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 35,"11","","25-Jul-13",,,22.500,18.200,10.133,0.000,0.000,1663.888,1617.437,7.855,746.199,748.797,1540.012,50.184,27.242,22.207,1.316,0.000,0.000,17.828,1.299,0.805,764.357,18.200,10.133,7.855,746.199,748.796,1540.012,50.184,27.242,22.207,1.316,0.000,0.000,17.828,1.299,0.805,764.357,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 36,"12","","25-Jul-13",,,22.500,18.000,10.133,0.000,0.000,1680.000,1693.335,7.580,1467.948,1473.070,1611.734,27.696,53.905,12.213,0.687,0.000,0.000,18.530,0.717,0.444,1503.292,18.000,10.133,7.580,1467.948,1473.070,1611.734,27.696,53.905,12.213,0.687,0.000,0.000,18.530,0.717,0.444,1503.292,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 37,"13","","25-Jul-13",,,22.600,17.800,10.133,0.000,0.000,1658.710,1709.939,7.415,2140.403,2147.890,1612.053,18.870,79.016,8.492,0.463,0.000,0.000,16.223,0.488,0.302,2191.391,17.800,10.133,7.415,2140.403,2147.890,1612.053,18.870,79.016,8.492,0.463,0.000,0.000,16.223,0.488,0.302,2191.391,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 38,"14","","25-Jul-13",,,22.600,17.900,10.133,0.000,0.000,1664.012,1636.641,7.770,916.394,919.595,1561.379,41.531,33.731,18.532,1.057,0.000,0.000,18.649,1.074,0.665,938.340,17.900,10.133,7.770,916.394,919.595,1561.379,41.531,33.731,18.532,1.057,0.000,0.000,18.649,1.074,0.665,938.340,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 39,"15","","25-Jul-13",,,22.500,18.100,10.133,0.000,0.000,1631.379,1688.620,7.385,2268.544,2276.450,1588.082,17.477,83.061,7.944,0.442,0.000,0.000,15.682,0.452,0.280,2323.454,18.100,10.133,7.385,2268.544,2276.450,1588.082,17.477,83.061,7.944,0.442,0.000,0.000,15.682,0.452,0.280,2323.454,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 40,"16","","25-Jul-13",,,22.500,18.100,10.133,0.000,0.000,1642.412,1612.803,7.780,884.979,888.063,1538.362,42.038,32.403,18.894,1.098,0.000,0.000,18.527,1.088,0.674,906.399,18.100,10.133,7.780,884.979,888.063,1538.362,42.038,32.403,18.894,1.098,0.000,0.000,18.527,1.088,0.674,906.399,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 41,"17","","25-Jul-13",,,22.400,18.100,10.133,0.000,0.000,1628.636,1692.449,7.360,2404.834,2413.215,1587.897,16.452,88.100,7.463,0.416,0.000,0.000,15.200,0.426,0.264,2463.045,18.100,10.133,7.360,2404.834,2413.215,1587.897,16.452,88.100,7.463,0.416,0.000,0.000,15.200,0.426,0.264,2463.045,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 42,"18","","25-Jul-13",,,22.500,18.200,10.133,0.000,0.000,1659.205,1628.168,7.785,884.003,887.080,1552.826,43.069,32.273,19.138,1.120,0.000,0.000,18.506,1.115,0.691,905.514,18.200,10.133,7.785,884.003,887.080,1552.826,43.069,32.273,19.138,1.120,0.000,0.000,18.506,1.115,0.691,905.514,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 43,"19","","25-Jul-13",,,22.600,17.900,10.133,0.000,0.000,1629.647,1588.541,7.835,764.878,767.551,1513.627,46.760,28.154,21.287,1.227,0.000,0.000,18.007,1.209,0.749,783.196,17.900,10.133,7.835,764.878,767.551,1513.627,46.760,28.154,21.287,1.227,0.000,0.000,18.007,1.209,0.749,783.196,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 44,"20","","25-Jul-13",,,22.600,17.900,10.133,0.000,0.000,1663.905,1682.444,7.555,1540.426,1545.808,1599.806,25.937,56.701,11.609,0.644,0.000,0.000,18.265,0.671,0.415,1577.316,17.900,10.133,7.555,1540.426,1545.808,1599.806,25.937,56.701,11.609,0.644,0.000,0.000,18.265,0.671,0.415,1577.316,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 45,"21","","25-Jul-13",,,22.600,18.000,10.133,0.000,0.000,1676.021,1659.059,7.720,1043.613,1047.255,1583.102,37.655,38.302,16.678,0.950,0.000,0.000,18.896,0.974,0.603,1068.739,18.000,10.133,7.720,1043.613,1047.255,1583.102,37.655,38.302,16.678,0.950,0.000,0.000,18.896,0.974,0.603,1068.739,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 46,"22","","25-Jul-13",,,22.300,17.900,10.133,0.000,0.000,1637.067,1582.375,7.900,656.401,658.694,1504.630,53.544,24.201,23.948,1.414,0.000,0.000,17.337,1.387,0.857,672.123,17.900,10.133,7.900,656.401,658.694,1504.630,53.544,24.201,23.948,1.414,0.000,0.000,17.337,1.387,0.857,672.123,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 47,"23","","25-Jul-13",,,22.500,18.100,10.133,0.000,0.000,1661.321,1571.705,8.035,473.789,475.440,1481.531,72.827,17.347,32.170,1.975,0.000,0.000,15.206,1.885,1.167,485.257,18.100,10.133,8.035,473.789,475.440,1481.531,72.827,17.347,32.170,1.975,0.000,0.000,15.206,1.885,1.167,485.257,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 48,"24","","25-Jul-13",,,22.500,18.000,10.133,0.000,0.000,1683.165,1667.542,7.715,1062.063,1065.768,1591.229,37.313,39.000,16.393,0.937,0.000,0.000,18.948,0.965,0.598,1087.633,18.000,10.133,7.715,1062.063,1065.768,1591.229,37.313,39.000,16.393,0.937,0.000,0.000,18.948,0.965,0.598,1087.633,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 73,"1","","8-Aug-13",,,22.900,19.000,10.133,0.000,0.000,1730.806,1662.899,7.925,653.516,655.768,1576.948,62.688,23.263,26.816,1.677,0.000,0.000,16.706,1.622,1.009,670.107,19.000,10.133,7.925,653.516,655.768,1576.948,62.688,23.263,26.816,1.677,0.000,0.000,16.706,1.622,1.009,670.107,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 74,"2","","8-Aug-13",,,22.800,18.800,10.133,0.000,0.000,1716.752,1722.504,7.605,1418.904,1423.805,1640.750,30.927,50.827,13.386,0.787,0.000,0.000,18.692,0.800,0.497,1454.546,18.800,10.133,7.605,1418.904,1423.805,1640.750,30.927,50.827,13.386,0.787,0.000,0.000,18.692,0.800,0.497,1454.546,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
